match_id,inning,bowling_team,batter,batter_total_balls,batter_SR,batter_score,dismissal_kind,date,match_type,venue,no_of_right_arm_pacers_faced,no_of_left_arm_pacers_faced,no_of_right_arm_offspinners_faced,no_of_left_arm_offpacers_faced,no_of_right_arm_legspinners_faced,no_of_left_arm_legspinners_faced,no_of_left_arm_offspinners_faced,score_last_5,balls_last_5,score_last_1,balls_last_1,score_last_2,balls_last_2,score_last_3,balls_last_3,score_last_4,balls_last_4
335982,1,Royal Challengers Bangalore,BB McCullum,73.0,229.41176470588235,158,,2008-04-18,League,M Chinnaswamy Stadium,3,1,0,0,1,0,1.0,,,,,,,,,,
335982,1,Royal Challengers Bangalore,DJ Hussey,12.0,150.0,12,caught,2008-04-18,League,M Chinnaswamy Stadium,1,1,0,0,1,0,1.0,,,,,,,,,,
335982,1,Royal Challengers Bangalore,Mohammad Hafeez,3.0,166.66666666666669,5,,2008-04-18,League,M Chinnaswamy Stadium,2,0,0,0,0,0,0.0,,,,,,,,,,
335982,1,Royal Challengers Bangalore,RT Ponting,20.0,126.66666666666666,20,caught,2008-04-18,League,M Chinnaswamy Stadium,2,1,0,0,0,0,1.0,,,,,,,,,,
335982,1,Royal Challengers Bangalore,SC Ganguly,12.0,100.0,10,caught,2008-04-18,League,M Chinnaswamy Stadium,2,1,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,AA Noffke,10.0,150.0,9,run out,2008-04-18,League,M Chinnaswamy Stadium,2,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,B Akhil,2.0,0.0,0,caught,2008-04-18,League,M Chinnaswamy Stadium,1,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,CL White,10.0,66.66666666666666,6,caught,2008-04-18,League,M Chinnaswamy Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,JH Kallis,7.0,133.33333333333331,8,caught,2008-04-18,League,M Chinnaswamy Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,MV Boucher,9.0,87.5,7,caught,2008-04-18,League,M Chinnaswamy Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,P Kumar,15.0,138.46153846153845,18,,2008-04-18,League,M Chinnaswamy Stadium,4,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,R Dravid,3.0,100.0,2,bowled,2008-04-18,League,M Chinnaswamy Stadium,2,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,SB Joshi,6.0,100.0,3,caught,2008-04-18,League,M Chinnaswamy Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,V Kohli,5.0,33.33333333333333,1,bowled,2008-04-18,League,M Chinnaswamy Stadium,2,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,W Jaffer,16.0,50.0,6,caught,2008-04-18,League,M Chinnaswamy Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335982,2,Kolkata Knight Riders,Z Khan,8.0,50.0,3,bowled,2008-04-18,League,M Chinnaswamy Stadium,2,0,0,0,0,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,JDP Oram,10.0,162.5,13,bowled,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",2,1,0,0,0,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,MEK Hussey,54.0,215.0943396226415,116,,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",4,1,1,0,1,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,ML Hayden,17.0,200.0,25,bowled,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",3,1,0,0,0,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,MS Dhoni,3.0,100.0,2,lbw,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",1,1,0,0,0,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,PA Patel,10.0,216.66666666666666,15,caught,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",2,0,0,0,0,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,S Badrinath,14.0,230.76923076923075,31,,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",3,1,0,0,0,0,0.0,,,,,,,,,,
335983,1,Kings XI Punjab,SK Raina,13.0,350.0,32,caught,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",2,1,1,0,1,0,0.0,,,,,,,,,,
335983,2,Chennai Super Kings,IK Pathan,5.0,75.0,3,,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",2,0,1,0,0,0,0.0,,,,,,,,,,
335983,2,Chennai Super Kings,JR Hopes,33.0,233.33333333333334,71,caught,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",4,0,1,0,0,0,0.0,,,,,,,,,,
335983,2,Chennai Super Kings,K Goel,19.0,400.0,24,caught,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",2,0,0,0,0,0,0.0,,,,,,,,,,
335983,2,Chennai Super Kings,KC Sangakkara,33.0,172.41379310344826,54,caught,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",3,0,1,0,0,0,0.0,,,,,,,,,,
335983,2,Chennai Super Kings,SM Katich,17.0,150.0,21,,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",4,0,1,0,0,0,0.0,,,,,,,,,,
335983,2,Chennai Super Kings,Yuvraj Singh,13.0,233.33333333333334,23,caught,2008-04-19,League,"Punjab Cricket Association Stadium, Mohali",2,0,1,0,0,0,0.0,,,,,,,,,,
335984,1,Delhi Daredevils,D Salunkhe,20.0,400.0,26,,2008-04-19,League,Feroz Shah Kotla,4,0,0,0,0,0,1.0,,,,,,,,,,
335984,1,Delhi Daredevils,DS Lehmann,2.0,100.0,1,lbw,2008-04-19,League,Feroz Shah Kotla,1,0,0,0,0,0,0.0,,,,,,,,,,
335984,1,Delhi Daredevils,M Kaif,19.0,56.25,9,caught,2008-04-19,League,Feroz Shah Kotla,3,0,0,0,0,0,0.0,,,,,,,,,,
335984,1,Delhi Daredevils,M Rawat,4.0,100.0,2,bowled,2008-04-19,League,Feroz Shah Kotla,1,0,0,0,0,0,1.0,,,,,,,,,,
335984,1,Delhi Daredevils,RA Jadeja,23.0,131.8181818181818,29,bowled,2008-04-19,League,Feroz Shah Kotla,3,0,0,0,0,0,1.0,,,,,,,,,,
335984,1,Delhi Daredevils,SK Trivedi,7.0,42.857142857142854,3,,2008-04-19,League,Feroz Shah Kotla,2,0,0,0,0,0,1.0,,,,,,,,,,
335984,1,Delhi Daredevils,SK Warne,13.0,133.33333333333331,14,bowled,2008-04-19,League,Feroz Shah Kotla,2,0,0,0,0,0,1.0,,,,,,,,,,
335984,1,Delhi Daredevils,SR Watson,15.0,212.5,21,run out,2008-04-19,League,Feroz Shah Kotla,4,0,0,0,0,0,0.0,,,,,,,,,,
335984,1,Delhi Daredevils,T Kohli,12.0,100.0,7,caught,2008-04-19,League,Feroz Shah Kotla,2,0,0,0,0,0,0.0,,,,,,,,,,
335984,1,Delhi Daredevils,YK Pathan,5.0,300.0,10,run out,2008-04-19,League,Feroz Shah Kotla,1,0,0,0,0,0,0.0,,,,,,,,,,
335984,2,Rajasthan Royals,G Gambhir,46.0,186.66666666666666,58,,2008-04-19,League,Feroz Shah Kotla,3,0,1,0,2,0,0.0,,,,,,,,,,
335984,2,Rajasthan Royals,S Dhawan,41.0,126.82926829268293,52,,2008-04-19,League,Feroz Shah Kotla,3,0,1,0,2,0,0.0,,,,,,,,,,
335984,2,Rajasthan Royals,V Sehwag,4.0,400.0,12,bowled,2008-04-19,League,Feroz Shah Kotla,1,0,0,0,0,0,0.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,AM Nayar,14.0,163.63636363636365,20,caught,2008-04-20,League,Wankhede Stadium,4,0,0,0,0,0,0.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,DJ Thornely,5.0,0.0,0,retired hurt,2008-04-20,League,Wankhede Stadium,1,1,0,0,0,0,0.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,Harbhajan Singh,2.0,100.0,2,,2008-04-20,League,Wankhede Stadium,0,1,0,0,0,0,0.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,L Ronchi,10.0,200.0,8,caught,2008-04-20,League,Wankhede Stadium,1,1,0,0,0,0,0.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,PR Shah,23.0,100.0,19,caught,2008-04-20,League,Wankhede Stadium,3,1,0,0,0,0,1.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,RV Uthappa,38.0,200.0,48,stumped,2008-04-20,League,Wankhede Stadium,4,1,0,0,0,0,1.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,SM Pollock,12.0,466.6666666666667,28,bowled,2008-04-20,League,Wankhede Stadium,3,1,0,0,0,0,0.0,,,,,,,,,,
335985,1,Royal Challengers Bangalore,ST Jayasuriya,16.0,207.14285714285717,29,run out,2008-04-20,League,Wankhede Stadium,2,1,0,0,0,0,0.0,,,,,,,,,,
335985,2,Mumbai Indians,B Akhil,5.0,200.0,3,,2008-04-20,League,Wankhede Stadium,1,0,1,0,0,0,0.0,,,0.0,2.0,,,,,,
335985,2,Mumbai Indians,JH Kallis,24.0,110.00000000000001,25,caught,2008-04-20,League,Wankhede Stadium,2,1,1,0,0,0,1.0,,,8.0,7.0,,,,,,
335985,2,Mumbai Indians,LRPL Taylor,12.0,242.85714285714283,23,caught,2008-04-20,League,Wankhede Stadium,2,0,1,0,0,0,1.0,,,,,,,,,,
335985,2,Mumbai Indians,MV Boucher,19.0,217.6470588235294,39,,2008-04-20,League,Wankhede Stadium,2,1,1,0,0,0,1.0,,,7.0,9.0,,,,,,
335985,2,Mumbai Indians,R Dravid,33.0,105.55555555555556,32,caught and bowled,2008-04-20,League,Wankhede Stadium,2,1,1,0,0,0,1.0,,,2.0,3.0,,,,,,
335985,2,Mumbai Indians,S Chanderpaul,11.0,225.0,16,caught,2008-04-20,League,Wankhede Stadium,2,1,0,0,0,0,0.0,,,,,,,,,,
335985,2,Mumbai Indians,V Kohli,14.0,220.00000000000003,23,caught,2008-04-20,League,Wankhede Stadium,1,1,1,0,0,0,1.0,,,1.0,5.0,,,,,,
335986,1,Kolkata Knight Riders,A Symonds,39.0,125.0,32,caught,2008-04-20,League,Eden Gardens,3,0,2,0,0,0,1.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,AC Gilchrist,22.0,161.53846153846155,23,caught,2008-04-20,League,Eden Gardens,3,0,1,0,0,0,1.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,AS Yadav,10.0,125.0,10,caught,2008-04-20,League,Eden Gardens,0,0,2,0,0,0,0.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,RG Sharma,3.0,0.0,0,caught,2008-04-20,League,Eden Gardens,0,0,0,0,0,0,1.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,RP Singh,2.0,100.0,1,run out,2008-04-20,League,Eden Gardens,0,0,0,0,0,0,1.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,SB Bangar,10.0,200.0,14,caught,2008-04-20,League,Eden Gardens,2,0,1,0,0,0,1.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,SB Styris,7.0,100.0,6,bowled,2008-04-20,League,Eden Gardens,0,0,1,0,0,0,1.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,VVS Laxman,6.0,0.0,0,caught,2008-04-20,League,Eden Gardens,2,0,0,0,0,0,0.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,WPUJC Vaas,1.0,0.0,0,caught,2008-04-20,League,Eden Gardens,1,0,0,0,0,0,0.0,,,,,,,,,,
335986,1,Kolkata Knight Riders,Y Venugopal Rao,14.0,118.18181818181819,14,caught,2008-04-20,League,Eden Gardens,2,0,0,0,0,0,0.0,,,,,,,,,,
335986,2,Deccan Chargers,BB McCullum,5.0,400.0,5,caught,2008-04-20,League,Eden Gardens,0,2,0,0,0,0,0.0,,,158.0,73.0,,,,,,
335986,2,Deccan Chargers,DJ Hussey,43.0,88.37209302325581,38,,2008-04-20,League,Eden Gardens,2,2,1,0,0,0,1.0,,,12.0,12.0,,,,,,
335986,2,Deccan Chargers,LR Shukla,6.0,100.0,4,,2008-04-20,League,Eden Gardens,1,0,0,0,0,0,1.0,,,,,,,,,,
335986,2,Deccan Chargers,Mohammad Hafeez,13.0,175.0,13,caught,2008-04-20,League,Eden Gardens,0,1,1,0,0,0,1.0,,,5.0,3.0,,,,,,
335986,2,Deccan Chargers,RT Ponting,1.0,0.0,0,lbw,2008-04-20,League,Eden Gardens,0,1,0,0,0,0,0.0,,,20.0,20.0,,,,,,
335986,2,Deccan Chargers,SC Ganguly,30.0,57.14285714285714,14,bowled,2008-04-20,League,Eden Gardens,2,2,1,0,0,0,1.0,,,10.0,12.0,,,,,,
335986,2,Deccan Chargers,WP Saha,17.0,100.0,10,caught,2008-04-20,League,Eden Gardens,0,2,0,0,0,0,0.0,,,,,,,,,,
335987,1,Rajasthan Royals,B Lee,2.0,0.0,0,caught,2008-04-21,League,Sawai Mansingh Stadium,1,0,0,0,0,0,0.0,,,,,,,,,,
335987,1,Rajasthan Royals,DPMD Jayawardene,4.0,66.66666666666666,2,stumped,2008-04-21,League,Sawai Mansingh Stadium,0,0,0,0,2,0,0.0,,,,,,,,,,
335987,1,Rajasthan Royals,IK Pathan,19.0,70.58823529411765,12,bowled,2008-04-21,League,Sawai Mansingh Stadium,3,0,1,0,2,0,0.0,,,3.0,5.0,,,,,,
335987,1,Rajasthan Royals,JR Hopes,16.0,133.33333333333331,16,lbw,2008-04-21,League,Sawai Mansingh Stadium,3,0,0,0,2,0,0.0,,,71.0,33.0,,,,,,
335987,1,Rajasthan Royals,K Goel,21.0,130.0,26,bowled,2008-04-21,League,Sawai Mansingh Stadium,2,0,0,0,0,0,0.0,,,24.0,19.0,,,,,,
335987,1,Rajasthan Royals,KC Sangakkara,8.0,500.0,20,caught and bowled,2008-04-21,League,Sawai Mansingh Stadium,2,0,0,0,1,0,0.0,,,54.0,33.0,,,,,,
335987,1,Rajasthan Royals,PP Chawla,11.0,218.18181818181816,24,,2008-04-21,League,Sawai Mansingh Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335987,1,Rajasthan Royals,S Sohal,4.0,100.0,4,run out,2008-04-21,League,Sawai Mansingh Stadium,1,0,0,0,1,0,0.0,,,,,,,,,,
335987,1,Rajasthan Royals,WA Mota,1.0,100.0,1,,2008-04-21,League,Sawai Mansingh Stadium,1,0,0,0,0,0,0.0,,,,,,,,,,
335987,1,Rajasthan Royals,Yuvraj Singh,34.0,400.0,57,lbw,2008-04-21,League,Sawai Mansingh Stadium,3,0,1,0,2,0,0.0,,,23.0,13.0,,,,,,
335987,2,Kings XI Punjab,DS Lehmann,16.0,400.0,17,lbw,2008-04-21,League,Sawai Mansingh Stadium,2,1,0,0,1,0,0.0,,,1.0,2.0,,,,,,
335987,2,Kings XI Punjab,Kamran Akmal,10.0,166.66666666666669,15,caught,2008-04-21,League,Sawai Mansingh Stadium,3,0,0,0,0,0,0.0,,,,,,,,,,
335987,2,Kings XI Punjab,M Kaif,8.0,71.42857142857143,5,caught,2008-04-21,League,Sawai Mansingh Stadium,2,0,0,0,0,0,0.0,,,9.0,19.0,,,,,,
335987,2,Kings XI Punjab,RA Jadeja,25.0,180.0,36,,2008-04-21,League,Sawai Mansingh Stadium,4,1,0,0,1,0,0.0,,,29.0,23.0,,,,,,
335987,2,Kings XI Punjab,SR Watson,49.0,185.71428571428572,76,,2008-04-21,League,Sawai Mansingh Stadium,4,1,0,0,1,0,0.0,,,21.0,15.0,,,,,,
335987,2,Kings XI Punjab,YK Pathan,5.0,175.0,7,caught and bowled,2008-04-21,League,Sawai Mansingh Stadium,2,0,0,0,0,0,0.0,,,10.0,5.0,,,,,,
335988,1,Delhi Daredevils,A Symonds,13.0,142.85714285714286,12,caught,2008-04-22,League,"Rajiv Gandhi International Stadium, Uppal",4,0,0,0,0,0,0.0,,,32.0,39.0,,,,,,
335988,1,Delhi Daredevils,AC Gilchrist,9.0,100.0,8,bowled,2008-04-22,League,"Rajiv Gandhi International Stadium, Uppal",2,0,0,0,0,0,0.0,,,23.0,22.0,,,,,,
335988,1,Delhi Daredevils,AS Yadav,7.0,200.0,12,caught,2008-04-22,League,"Rajiv Gandhi International Stadium, Uppal",2,0,0,0,0,0,0.0,,,10.0,10.0,,,,,,
