bowler,Bowling_Skill
bj rohrer,Right-arm pace
ts mills,Left-arm pace
a choudhary,Left-arm pace
ba stokes,Right-arm pace
cr woakes,Right-arm pace
rd chahar,Right-arm legspin
b stanlake,Right-arm pace
tejas baroka,Right-arm legspin
basil thampi,Right-arm pace
c de grandhomme,Right-arm pace
aj tye,Right-arm pace
lh ferguson,Right-arm pace
k rabada,Right-arm pace
ss agarwal,Right-arm legspin
nb singh,Right-arm pace
ra tripathi,Right-arm pace
ankit soni,Right-arm legspin
mj henry,Right-arm pace
ma wood,Right-arm pace
m markande,Right-arm legspin
k khejroliya,
k gowtham,
djm short,
tk curran,
a dananjaya,
jc archer,
le plunkett,
is sodhi,
mk lomror,
l ngidi,
km asif,
dj willey,
m prasidh krishna,
mm ali,
jpr scantlebury-searles,
s lamichhane,
cj dala,
kk ahmed,
s dube,
rasikh salam,
kma paul,
sm curran,
cv varun,
gc viljoen,
p ray barman,
mj santner,
jp behrendorff,
sc kuggeleijn,
as joseph,
hf gurney,
s midhun,
r parag,
ls livingstone,
se rutherford,
y prithvi raj,
o thomas,
as roy,
s sandeep warrier,
jl pattinson,
ss cottrell,
a nortje,
i udana,
tu deshpande,
kl nagarkoti,
dr sams,
jr hazlewood,
cj green,
p dubey,
monu kumar,
ka jamieson,
m jansen,
c sakariya,
ja richardson,
rp meredith,
li meriwala,
jalaj s saxena,
fa allen,
pwh de silva,
gd phillips,
ak markram,
ghs garton,
vr iyer,
k yadav,
nt ellis,
rv patel,
ic porel,
au rashid,
of smith,
pvd chameera,
r shepherd,
d pretorius,
vg arora,
ybk jaiswal,
dg nalkande,
m theekshana,
d brevis,
r powell,
kr sen,
aman hakim khan,
oc mccoy,
hr shokeen,
a badoni,
dj mitchell,
k kartikeya,
r sai kishore,
ph solanki,
m pathirana,
r sanjay yadav,
j little,
rs hangargekar,
kr mayers,
na saini,
rjw topley,
mg bracewell,
c green,
ssb magala,
mohit rathee,
mw short,
vijaykumar vyshak,
d jansen,
gurnoor brar,
aj hosein,
r goyal,
t stubbs,
vivrant sharma,
je root,
nithish kumar reddy,
h sharma,
