bowler,Bowling_Skill
BJ Rohrer,Right-arm pace
TS Mills,Left-arm pace
A Choudhary,Left-arm pace
Rashid Khan,Right-arm legspin
BA Stokes,Right-arm pace
CR Woakes,Right-arm pace
T Natarajan,Left-arm pace
RD Chahar,Right-arm legspin
B Stanlake,Right-arm pace
Tejas Baroka,Right-arm legspin
Basil Thampi,Right-arm pace
C de Grandhomme,Right-arm pace
AJ Tye,Right-arm pace
LH Ferguson,Right-arm pace
Mohammad Nabi,Right-arm offspin
Mohammed Siraj,Right-arm pace
K Rabada,Right-arm pace
Washington Sundar,Right-arm offspin
SS Agarwal,Right-arm legspin
NB Singh,Right-arm pace
RA Tripathi,Right-arm pace
Ankit Soni,Right-arm legspin
MJ Henry,Right-arm pace
Avesh Khan,Right-arm pace
MA Wood,Right-arm pace
M Markande,Right-arm legspin
Mujeeb Ur Rahman,Right-arm legspin
K Khejroliya,Left-arm pace
K Gowtham,Right-arm legspin
DJM Short,Left-arm legspin
TK Curran,Right-arm pace
A Dananjaya,Right-arm legspin
Shivam Mavi,Right-arm pace
JC Archer,Right-arm pace
LE Plunkett,Right-arm pace
IS Sodhi,Right-arm legspin
MK Lomror,Left-arm offspin
L Ngidi,Right-arm pace
KM Asif,Right-arm pace
DJ Willey,Left-arm pace
M Prasidh Krishna,Right-arm pace
MM Ali,Right-arm offspin
JPR Scantlebury-Searles,Right-arm pace
S Lamichhane,Right-arm legspin
CJ Dala,Right-arm pace
KK Ahmed,Left-arm pace
Navdeep Saini,Right-arm pace
S Dube,Right-arm pace
Rasikh Salam,Right-arm pace
KMA Paul,Right-arm pace
SM Curran,Left-arm pace
CV Varun,Right-arm legspin
GC Viljoen,Right-arm pace
P Ray Barman,Right-arm legspin
MJ Santner,Left-arm offspin
JP Behrendorff,Left-arm pace
SC Kuggeleijn,Right-arm pace
AS Joseph,Right-arm pace
HF Gurney,Left-arm pace
S Midhun,Right-arm legspin
R Parag,Right-arm legspin
LS Livingstone,Right-arm legspin
Abhishek Sharma,Left-arm offspin
Arshdeep Singh,Left-arm pace
SE Rutherford,Right-arm pace
Harpreet Brar,Left-arm offspin
Y Prithvi Raj,Left-arm pace
O Thomas,Right-arm pace
AS Roy,Left-arm offspin
S Sandeep Warrier,Right-arm pace
JL Pattinson,Right-arm pace
SS Cottrell,Left-arm pace
Ravi Bishnoi,Right-arm legspin
A Nortje,Right-arm pace
I Udana,Left-arm pace
TU Deshpande,Right-arm pace
KL Nagarkoti,Right-arm pace
Kartik Tyagi,Right-arm pace
DR Sams,Left-arm pace
Shahbaz Ahmed,Left-arm offspin
Abdul Samad,Right-arm legspin
JR Hazlewood,Right-arm pace
CJ Green,Right-arm pace
P Dubey,Right-arm legspin
Monu Kumar,Right-arm pace
KA Jamieson,Right-arm pace
M Jansen,Left-arm pace
C Sakariya,Left-arm pace
JA Richardson,Right-arm pace
RP Meredith,Right-arm pace
LI Meriwala,Left-arm pace
Lalit Yadav,Right-arm offspin
Jalaj S Saxena,Right-arm offspin
FA Allen,Left-arm offspin
PWH de Silva,Right-arm legspin
Umran Malik,Right-arm pace
Akash Singh,Left-arm pace
GD Phillips,Right-arm offspin
AK Markram,Right-arm offspin
GHS Garton,Left-arm pace
VR Iyer,Right-arm pace
K Yadav,Left-arm pace
NT Ellis,Right-arm pace
RV Patel,Right-arm pace
IC Porel,Right-arm pace
AU Rashid,Right-arm legspin
OF Smith,Right-arm pace
Akash Deep,Right-arm pace
PVD Chameera,Right-arm pace
Mohsin Khan,Left-arm pace
R Shepherd,Right-arm pace
Mukesh Choudhary,Left-arm pace
D Pretorius,Right-arm pace
VG Arora,Right-arm pace
YBK Jaiswal,Right-arm legspin
Tilak Varma,Right-arm offspin
DG Nalkande,Right-arm pace
M Theekshana,Right-arm legspin
D Brevis,Right-arm legspin
R Powell,Right-arm pace
KR Sen,Right-arm pace
Yash Dayal,Left-arm pace
Shashank Singh,Right-arm pace
Aman Hakim Khan,Right-arm pace
OC McCoy,Left-arm pace
HR Shokeen,Right-arm offspin
A Badoni,Right-arm offspin
DJ Mitchell,Right-arm pace
Harshit Rana,Right-arm pace
K Kartikeya,Left-arm offspin
Simarjeet Singh,Right-arm pace
Fazalhaq Farooqi,Left-arm pace
R Sai Kishore,Left-arm offspin
Ramandeep Singh,Right-arm pace
PH Solanki,Right-arm legspin
M Pathirana,Right-arm pace
R Sanjay Yadav,Left-arm offspin
J Little,Left-arm pace
RS Hangargekar,Right-arm pace
Sikandar Raza,Right-arm offspin
Mukesh Kumar,Right-arm pace
KR Mayers,Right-arm pace
NA Saini,Right-arm pace
RJW Topley,Left-arm pace
MG Bracewell,Right-arm offspin
Arshad Khan,Left-arm pace
C Green,Right-arm pace
Yash Thakur,Right-arm pace
Suyash Sharma,Right-arm legspin
SSB Magala,Right-arm pace
Mohit Rathee,Right-arm legspin
MW Short,Right-arm offspin
Vijaykumar Vyshak,Right-arm pace
Yudhvir Singh,Right-arm pace
Arjun Tendulkar,Left-arm pace
D Jansen,Left-arm pace
Noor Ahmad,Left-arm legspin
Naveen-ul-Haq,Right-arm pace
Mayank Dagar,Right-arm pace
Gurnoor Brar,Right-arm pace
AJ Hosein,Left-arm offspin
Akash Madhwal,Right-arm pace
R Goyal,Left-arm legspin
T Stubbs,Right-arm offspin
Vivrant Sharma,Right-arm legspin
JE Root,Right-arm offspin
Nithish Kumar Reddy,Right-arm pace
H Sharma,Right-arm legspin
